fullClauseName,text,cause_of_action_1
芜湖市市区餐厨废弃物管理办法第一条,为了加强餐厨废弃物管理，维护城市市容环境卫生，保障市民身体健康，促进餐厨废弃物资源利用和无害化处理，根据《中华人民共和国固体废物污染环境防治法》和《安徽省生活垃圾分类管理条例》等法律法规，结合本市实际，制定本办法。,无对应案由
芜湖市市区餐厨废弃物管理办法第二条,本办法所称餐厨废弃物是指居民日常生活以外，从事餐饮服务、单位供餐、食品生产加工等活动的单位和个人（以下统称餐厨废弃物产生单位）在生产和经营活动中产生的食物残余、食品加工废料和废弃食用油脂等。前款所称废弃食用油脂是指不可再食用的动植物油脂和各类油水混合物。,无对应案由
芜湖市市区餐厨废弃物管理办法第三条,本办法适用于本市市区范围内餐厨废弃物的产生、收集、运输、处理及其相关的管理活动。,无对应案由
芜湖市市区餐厨废弃物管理办法第四条,餐厨废弃物的治理坚持政府主导、社会参与，遵循减量化、资源化、无害化的原则，实行统一收集运输、集中专业处理。,无对应案由
芜湖市市区餐厨废弃物管理办法第五条,市、区人民政府及芜湖经济技术开发区管委会应当加强对餐厨废弃物管理工作的领导，建立健全餐厨废弃物管理工作协调机制，统筹推进餐厨废弃物收集、运输、处理设施和运行体系建设。,无对应案由
芜湖市市区餐厨废弃物管理办法第六条,市城市管理主管部门负责本市市区餐厨废弃物的监督管理工作。各区城市管理主管部门按照职责规定负责本区域内餐厨废弃物的监督管理工作。发展改革、公安、财政、生态环境、农业农村、商务、市场监管等部门按照各自职责做好餐厨废弃物的管理工作。,无对应案由
芜湖市市区餐厨废弃物管理办法第七条,倡导通过净菜上市、改进食品加工工艺、文明用餐等方式，减少餐厨废弃物的产生。鼓励开展和支持对餐厨废弃物处理的科学研究、新技术开发和利用，促进餐厨废弃物资源化利用和无害化处理。,无对应案由
芜湖市市区餐厨废弃物管理办法第八条,餐厨废弃物的收集、运输费用由各区财政予以保障；餐厨废弃物的处置费用由市财政予以保障。,无对应案由
芜湖市市区餐厨废弃物管理办法第九条,市、区人民政府以及有关部门应当采取多种形式开展宣传教育，大力普及餐厨废弃物管理相关科学与法律常识，引导市民科学消费，提高市民的生态环境保护、食品安全意识。,无对应案由
芜湖市市区餐厨废弃物管理办法第十条,餐饮行业协会应当发挥行业自律作用，推广减少餐厨废弃物产生的技术和方法；规范行业行为，指导、督促餐饮企业从源头上减少餐厨废弃物的产生，做好餐厨废弃物的收集等工作。鼓励餐饮行业协会将餐厨废弃物规范化管理的要求纳入行业自律规范。,无对应案由
芜湖市市区餐厨废弃物管理办法第十一条,从事餐厨废弃物经营性收集、运输和处理业务的单位，应当按照国家有关规定分别取得城市生活垃圾经营性收集、运输和处理服务许可证。任何单位和个人，未取得城市生活垃圾经营性收集、运输和处理服务许可证，不得从事餐厨废弃物收集、运输和处理活动。,无对应案由
芜湖市市区餐厨废弃物管理办法第十二条,城市管理主管部门应当通过招标等公平竞争方式选择具备条件的单位从事餐厨废弃物的收集、运输和处理，并向中标人颁发城市生活垃圾经营性收集、运输和处理服务许可证。城市管理主管部门应当与中标人签订城市生活垃圾收集、运输、处理经营协议，明确约定经营期限、服务项目和标准等。餐厨废弃物产生单位可以选择与取得餐厨废弃物收运服务许可的单位签订收集运输协议，明确餐厨废弃物收运时间、地点、频次等内容。,无对应案由
芜湖市市区餐厨废弃物管理办法第十三条,餐厨废弃物产生单位应当遵守下列规定：（一）单独收集、存放本单位产生的餐厨废弃物，并将餐厨废弃物投放到指定的垃圾容器，按照收集运输协议约定或者区城市管理主管部门的规定，将餐厨废弃物交给符合本办法要求的餐厨废弃物收集、运输单位；（二）建立台账，详细记录餐厨废弃物的种类、数量、去向等情况；（三）未经处理不得直接排放、倾倒废弃油脂和含油废物；（四）按照规定安装环境保护设施并保证其正常运行；（五）法律、法规的其他规定。,无对应案由
芜湖市市区餐厨废弃物管理办法第十四条,餐厨废弃物经营性收集、运输单位应当遵守下列规定：（一）按照城市环境卫生作业规范、收集运输协议约定和收集、运输服务许可的范围收集、运输餐厨废弃物；（二）将收集的餐厨废弃物运输到具备相应资质条件的餐厨废弃物处理场所；（三）遵守环境卫生作业标准和作业规范，收集运输餐厨废弃物后，对餐厨废弃物收集设施及时保洁、复位，清理作业场地，保持餐厨废弃物设施和周边环境的干净整洁；（四）用于收集、运输餐厨废弃物的车辆应当做到密闭化运输，整洁和完好，具有防臭味扩散、防遗撒、防渗沥液滴漏功能，并按照规定安装行驶及装卸记录仪；（五）建立台账，详细记录餐厨废弃物的种类、数量、去向等情况；（六）法律、法规的其他规定。,无对应案由
芜湖市市区餐厨废弃物管理办法第十五条,餐厨废弃物经营性处理单位应当遵守下列规定：（一）按照有关规定和技术标准，处理餐厨废弃物；（二）按照规定处理处置过程中产生的污水、废气、废渣、粉尘等，保证达到国家排放标准，防止二次污染；（三）按照市城市管理主管部门规定的时间、要求接收餐厨废弃物；（四）按照要求配备餐厨废弃物处理和监测设备、设施，保证设备、设施正常运行；（五）保证餐厨废弃物处置场所环境整洁；（六）按照要求配备合格的管理人员及操作人员；（七）对每日收集运输、进出场站、处置的餐厨废弃物进行计量，建立台账，详细记录餐厨废弃物的种类、数量、去向、用途等处理情况，并按照要求于每月10日前向市城市管理主管部门报送上一个月统计数据和报表；（八）按照国家有关规定实时监测污染物的排放情况，并公开污染排放数据；（九）按照要求进行水、气、土壤等环境影响监测，对餐厨废弃物处置设施的性能和环保指标进行检测、评价，向市城市管理主管部门报告检测、评价结果；（十）利用餐厨废弃物生产、加工的产品应当符合国家相关标准；（十一）法律、法规的其他规定。,无对应案由
芜湖市市区餐厨废弃物管理办法第十六条,餐厨废弃物产生、收集、运输、处理过程中，禁止从事下列活动：（一）随意倾倒、抛撒、堆放、焚烧或者填埋餐厨废弃物，或者在运输过程中沿途丢弃餐厨废弃物、滴漏污水油脂；（二）将餐厨废弃物排入雨水管道、污水排水管道、河道；（三）将餐厨废弃物与厨余垃圾以外的其他垃圾混合投放、收集、运输；（四）利用餐厨废弃物或者餐厨废弃物的提炼物生产加工食品；（五）法律、法规禁止的其他行为。禁止畜禽养殖场、养殖小区利用未经无害化处理的餐厨废弃物饲喂畜禽。,无对应案由
芜湖市市区餐厨废弃物管理办法第十七条,市场监管部门在核发食品经营许可证，办理食品小作坊登记或者小餐饮、食品摊贩备案等相关手续时，应当告知餐厨废弃物产生单位将餐厨废弃物单独收集、存放，交由符合本办法规定的餐厨废弃物收集、运输单位统一收集、运输，并在日常监督管理中督促落实。,无对应案由
芜湖市市区餐厨废弃物管理办法第十八条,城市管理主管部门应当加强对餐厨废弃物收集、运输、处理活动的监督检查，实施监督检查时，有权采取下列措施：（一）进入现场开展检查；（二）查阅复制有关文件和资料；（三）要求被检查的单位和个人就有关问题做出说明；（四）责令有关单位和个人改正违法行为。有关单位和个人应当支持配合监督检查并提供工作方便，不得妨碍与阻挠监督检查人员依法执行职务。实施检查的单位和工作人员应当为被检查单位和个人保守商业秘密及其相关的个人隐私。,无对应案由
芜湖市市区餐厨废弃物管理办法第十九条,城市管理主管部门和其他有关部门应当建立投诉举报制度，畅通投诉举报渠道，向社会公布投诉举报的方式、处理流程和时限，并及时依法处理。,无对应案由
芜湖市市区餐厨废弃物管理办法第二十条,城市管理主管部门应当会同有关部门建立信息共享和执法联动机制，及时通报情况，依法查处餐厨废弃物违法行为。,无对应案由
芜湖市市区餐厨废弃物管理办法第二十一条,城市管理主管部门应当建立餐厨废弃物收集、运输、处理单位信息档案，建立餐厨废弃物信息管理平台，记录日常监督检查结果、违法行为查处等情况，依法将餐厨废弃物管理情况纳入诚信体系建设。,无对应案由
芜湖市市区餐厨废弃物管理办法第二十二条,餐厨废弃物收集、运输、处理单位不得擅自停业、歇业，确需停业、歇业的，应当提前半年向市城市管理主管部门报告，经市城市管理主管部门商市生态环境主管部门同意后方可停业或者歇业。市城市管理主管部门应当在餐厨废弃物收集、运输和处理单位停业或者歇业前，落实保障及时收集、运输和处理餐厨废弃物的措施，防止污染环境。,无对应案由
芜湖市市区餐厨废弃物管理办法第二十三条,市城市管理主管部门应当会同有关部门制定餐厨废弃物收集、运输和处理应急预案，建立餐厨废弃物应急处理系统，保证紧急或特殊情况下餐厨废弃物正常收集、运输和处理。从事餐厨废弃物经营性收集、运输和处理的单位，应当制定餐厨废弃物污染突发事件防范的应急方案，并报市城市管理主管部门备案。,无对应案由
芜湖市市区餐厨废弃物管理办法第二十四条,违反本办法规定的行为，法律、法规已有行政处罚规定的，从其规定；构成犯罪的，依法追究刑事责任。,无对应案由
芜湖市市区餐厨废弃物管理办法第二十五条,违反本办法第十一条规定，未经许可从事餐厨废弃物经营性收集、运输或者处理活动的，由城市管理主管部门责令停止违法行为，并处以三万元的罚款。,无对应案由
芜湖市市区餐厨废弃物管理办法第二十六条,违反本办法第十四条第三项规定，从事餐厨废弃物经营性收集、运输的单位未遵守城市环境卫生作业规范，未对餐厨废弃物收集设施进行保洁、复位，清理作业场地的，由城市管理主管部门责令限期改正；逾期不改正的，处五千元以上三万元以下的罚款。,无对应案由
芜湖市市区餐厨废弃物管理办法第二十七条,违反本办法第十五条规定，餐厨废弃物经营性处理单位有下列行为之一的，由城市管理主管部门责令限期改正；逾期不改正的，可处以三万元以上十万元以下罚款。造成损失的，依法承担赔偿责任：（一）未按照国家有关规定和技术标准，处理餐厨废弃物的；（二）未按照规定处理处置过程中产生的污水、废气、废渣、粉尘等的；（三）未按照市城市管理主管部门规定的时间和要求接收餐厨废弃物的；（四）未按照要求配备餐厨废弃物处理设备、设施的，保证设施、设备正常运行的；（五）未保持餐厨废弃物处理场所环境整洁的；（六）未按照要求配备合格的管理人员及操作人员的；（七）未定期向市城市管理主管部门报送餐厨废弃物统计数据和报表的；（八）未按照要求对餐厨废弃物处置设施的性能和环保指标进行检测、评价，并向市城市管理主管部门报告检测、评价结果的。,无对应案由
芜湖市市区餐厨废弃物管理办法第二十八条,违反本办法第二十二条第一款规定，从事餐厨废弃物经营性收集、运输的单位，未经批准擅自停业、歇业的，由城市管理主管部门责令限期改正；逾期不改正的，可处以一万元以上三万元以下罚款。造成损失的，依法承担赔偿责任。,无对应案由
芜湖市市区餐厨废弃物管理办法第二十九条,城市管理主管部门和其他有关部门及其工作人员有下列行为之一的，由有权机关责令改正，并对负有责任的主管人员和其他直接责任人员依法给予处分：（一）违法核发城市生活垃圾经营性收集、运输、处理服务许可证的；（二）发现违法行为或者接到违法行为投诉、举报，未依法调查处理的；（三）不依法履行行政监督管理职责或者监督不力的其他行为的；（四）其他玩忽职守、滥用职权、徇私舞弊行为的。,无对应案由
芜湖市市区餐厨废弃物管理办法第三十条,各县（市）可以参照本办法，制定本行政区域餐厨废弃物管理办法。,无对应案由
芜湖市市区餐厨废弃物管理办法第三十一条,本办法自2019年3月1日起施行。,无对应案由
