fullClauseName,text,cause_of_action_1,cause_of_action_2,cause_of_action_3,cause_of_action_4,cause_of_action_5,cause_of_action_6,cause_of_action_7,cause_of_action_8,cause_of_action_9,cause_of_action_10
铜陵市现场救护办法第一条,为了鼓励和规范现场救护行为，提高现场救护服务水平和应急救援能力，及时有效抢救伤病员，保障公民的身体健康和生命安全，根据有关法律、法规，结合本市实际，制定本办法。,无对应案由,,,,,,,,,
铜陵市现场救护办法第二条,本市行政区域内的现场救护及相关培训服务、设备配置、救护保障等，适用本办法。本办法所称现场救护，是指在医疗区以外发生心脑血管疾病等急危重症或者交通事故、溺水、中毒等意外伤害情况时，在医疗急救机构救护前，现场救护者呼叫医疗急救机构、自愿对患（伤）者实施基础性急救或者将患（伤）者送往医疗卫生机构救治的行为。,无对应案由,,,,,,,,,
铜陵市现场救护办法第三条,市和县、区人民政府应当根据经济和社会发展需要，将现场救护体系建设纳入本级卫生健康事业发展规划，加强现场救护体系建设，并安排经费用于现场救护宣传教育、培训演练、设备配置等。乡镇人民政府、政府派出机构、社区公共服务中心应当宣传现场救护基本知识，动员辖区内居民参与现场救护，参加现场救护基本知识与技能培训和演练。村（居）民委员会应当协助人民政府及其有关部门和医疗卫生机构做好现场救护相关工作。,无对应案由,,,,,,,,,
铜陵市现场救护办法第四条,县级以上人民政府卫生健康主管部门负责本行政区域现场救护管理工作，推进现场救护基本知识与技能的普及，增强全民参与现场救护的意识和能力。红十字会、医疗急救机构等单位应当采取多种形式面向机关、企业、学校、社区、农村，组织开展现场救护基本知识与技能的宣传培训。广播、电视、报刊、互联网等媒体应当刊播现场救护公益广告，宣传现场救护基本知识和先进事迹。其他有关部门和人民团体在各自职责内做好现场救护相关工作。,无对应案由,,,,,,,,,
铜陵市现场救护办法第五条,鼓励、支持公民、法人和其他组织捐助资金、设备为现场救护提供服务。支持各级各类医疗卫生机构、医学教育机构、医疗研究机构和医疗急救机构等为现场救护提供专业服务。鼓励有条件的医疗卫生机构和其他单位建立急救小屋，为现场救护提供培训、急救等服务。,无对应案由,,,,,,,,,
铜陵市现场救护办法第六条,市卫生健康主管部门应当会同市红十字会制定现场救护基本知识与技能培训计划，统一培训内容和考核标准。卫生健康主管部门、红十字会应当建立常态化培训机制，定期组织开展现场救护培训，对社会公众开展心肺复苏、自动体外除颤仪使用、气道异物梗阻解除手法等内容的现场救护培训。鼓励医疗卫生机构、医学行业协会、医学教育机构、医疗研究机构等具备培训能力的组织提供现场救护服务，并建立培训台账，如实记录培训师资、对象和内容等信息。公安、消防、数据资源、教育和体育、市场监管、文化和旅游、交通运输等部门和单位，应当组织人民警察、消防救援人员、政务服务人员、学校教职工、安保人员、餐饮服务人员、导游及公共交通业驾驶员和乘务员等相关人员参加现场救护基本知识与技能培训。其他国家机关、人民团体、企业事业单位和组织，应当有计划地对本单位或者本系统员工开展现场救护培训。各级各类学校应当将现场救护培训纳入教师培训计划和学生安全教育。,无对应案由,,,,,,,,,
铜陵市现场救护办法第七条,卫生健康主管部门按照自动体外除颤仪等急救设备在公共场所的配置要求，制定在政务服务大厅、客运站场、大型商场（超市）、体育运动场馆、人流量大的旅游景区等公共场所以及学校、养老机构等单位配置自动体外除颤仪等急救设备的规划，报本级人民政府批准后实施。鼓励在其他公共场所配置自动体外除颤仪等急救设备。自动体外除颤仪等急救设备配置单位应当根据国家标准，统一自动体外除颤仪标识、包装内基本配置、保护外箱或机柜以及安装位置设置；定期进行检查、维护、保养，确保设备正常运行。,无对应案由,,,,,,,,,
铜陵市现场救护办法第八条,县级以上人民政府及其有关部门应当积极推进现代信息技术在现场救护中的应用，建立包含现场救护基本知识与技能培训人员信息、自动体外除颤仪等急救设备配置安装信息、移动终端使用功能的现场救护智能管理平台，实现与“120”急救系统的联通。市卫生健康主管部门应当根据公布的自动体外除颤仪等急救设备配置规划，建立自动体外除颤仪等急救设备电子地图、导航和远程管理系统，方便公众查询、使用。,无对应案由,,,,,,,,,
铜陵市现场救护办法第九条,鼓励现场救护者发现患（伤）者时，及时拨打“120”急救专线电话呼救，鼓励经过培训取得合格证书、具备急救专业技能的现场救护者，在医疗急救人员到达前，对患（伤）者实施紧急现场救护；发生多人伤亡的突发事件时，在确保自身安全的前提下，配合公安、应急等救援人员实施现场紧急救护或者帮助患（伤）者撤离危险区域。鼓励现场救护者按照就近、就急、满足专业需要、兼顾患（伤）者意愿的原则，自愿将患（伤）者送至医疗卫生机构救治。,无对应案由,,,,,,,,,
铜陵市现场救护办法第十条,医疗急救机构专业人员到达救护现场后，应当向现场救护者了解受助人的状况和已采取的救护措施等情况。自愿继续参加救护的现场救护者，应当服从医疗急救人员的安排和调度。,无对应案由,,,,,,,,,
铜陵市现场救护办法第十一条,现场救护过程中，救护车以外的社会车辆运送受助人需要交通疏导的，执勤交警应当提供通行方便。前款规定的车辆因现场救护违反交通规则的，事后可以向公安机关交通管理部门提交相关就医证明材料并承诺材料真实性，申请免予行政处罚。公安机关交通管理部门核查属实的，应当免予行政处罚。,无对应案由,,,,,,,,,
铜陵市现场救护办法第十二条,鼓励保险公司开发救助人救助保险、救护设施设备损失保险等保险产品。县、区人民政府可以根据本辖区现场救护实际需求，统一为不特定的现场救助人购买救助保险。鼓励具备急救能力的个人在医疗急救人员到达前对患（伤）者实施紧急现场救护，其紧急现场救护行为受法律保护。因自愿实施紧急救助行为造成受助人损害的，救助人不承担民事责任。救助人因现场救护产生的交通费、误工费和其他财产损失由保险公司依合同理赔或者由侵权责任人依法赔偿，受益人可以给予适当补偿。没有侵权人、侵权人逃逸或者无力承担民事责任，救助人请求补偿的，受益人应当给予适当补偿。受助人及其近亲属，不得捏造事实、诬告陷害救助人或者采取非法手段干扰救助人正常生活。救助人因现场救护导致的纠纷和诉讼，申请法律援助的，法律援助机构应当为其提供无偿的法律服务。,无对应案由,侵权责任纠纷 > 侵权责任纠纷 > 见义勇为人受害责任纠纷,合同、准合同纠纷 > 合同纠纷 > 保险合同纠纷 > 财产保险合同纠纷 > 财产损失保险合同纠纷,合同、准合同纠纷 > 不当得利纠纷 > 不当得利纠纷,人格权纠纷 > 人格权纠纷 > 名誉权纠纷,非讼程序案件案由 > 申请人格权侵害禁令案件 > 申请人格权侵害禁令,非讼程序案件案由 > 申请保全案件 > 申请诉前行为保全,非讼程序案件案由 > 申请保全案件 > 申请诉前证据保全,非讼程序案件案由 > 申请保全案件 > 申请行为保全,非讼程序案件案由 > 申请法律援助
铜陵市现场救护办法第十三条,现场救护者、受助人及其近亲属或者有关单位可以按照规定为现场救护者申报铜陵好人、道德模范等荣誉称号或者见义勇为行为。红十字会联同相关单位建立信息互通、工作互助机制，积极推荐见义勇为事迹，鼓励和支持在现场救护活动中表现突出的现场救护者申请相关荣誉。,无对应案由,,,,,,,,,
铜陵市现场救护办法第十四条,违反本办法规定，损毁、侵占公共场所自动体外除颤仪等急救设备的，由公共场所经营管理单位予以劝阻、制止；造成损毁的，应当依法承担民事责任；违反治安管理的，由公安机关依法给予行政处罚；构成犯罪的，依法追究刑事责任。,无对应案由,,,,,,,,,
铜陵市现场救护办法第十五条,违反本办法规定，受助人及其近亲属捏造事实、诬告陷害救助人或者采取非法手段干扰救助人正常生活，违反治安管理的，由公安机关依法给予行政处罚；构成犯罪的，依法追究刑事责任。,无对应案由,,,,,,,,,
铜陵市现场救护办法第十六条,本办法自2025年3月1日起施行。,无对应案由,,,,,,,,,
